customer_id,gender,age,married,number_of_dependents,tenure_in_months,number_of_referrals,city,offer,phone_service,multiple_lines,internet_service,internet_type,online_security,online_backup,device_protection_plan,premium_tech_support,streaming_tv,streaming_movies,streaming_music,unlimited_data,contract,paperless_billing,payment_method,average_monthly_gb_download,average_monthly_long_distance_charges,monthly_charge,total_charges,total_refunds,total_extra_data_charges,total_long_distance_charges,customer_status,churn_category,churn_reason
0060-FUALY,Female,60,True,0,59,4,Los Angeles,Offer B,True,True,True,Fiber Optic,True,True,False,False,True,False,False,True,Month-to-Month,True,Bank Withdrawal,14.0,16.39,94.75,5597.65,0.0,0.0,967.01,Stayed,Still Subscribed,Still Subscribed
0064-SUDOG,Female,48,True,3,12,3,Huntington Park,None,True,False,False,None,False,False,False,False,False,False,False,False,Two Year,False,Bank Withdrawal,0.0,19.28,20.3,224.5,0.0,0.0,231.36,Stayed,Still Subscribed,Still Subscribed
0064-YIJGF,Male,60,True,3,27,7,Yermo,Offer C,True,True,True,Fiber Optic,False,False,False,False,False,False,False,True,Month-to-Month,True,Bank Withdrawal,23.0,25.26,75.75,1929.0,0.0,0.0,682.02,Stayed,Still Subscribed,Still Subscribed
0067-DKWBL,Male,69,False,0,2,0,San Diego,None,True,False,True,DSL,True,False,False,False,False,False,False,True,Month-to-Month,True,Bank Withdrawal,27.0,43.99,49.25,91.1,0.0,0.0,87.98,Churned,Competitor,Competitor made better offer
0068-FIGTF,Female,20,False,0,27,0,Fremont,Offer C,True,False,True,DSL,False,True,True,True,True,True,True,True,One Year,False,Credit Card,59.0,48.91,78.2,2078.95,0.0,0.0,1320.57,Stayed,Still Subscribed,Still Subscribed
0071-NDAFP,Male,31,True,3,25,1,Santa Rosa,None,True,True,False,None,False,False,False,False,False,False,False,False,Two Year,False,Credit Card,0.0,23.69,25.5,630.6,44.42,0.0,592.25,Stayed,Still Subscribed,Still Subscribed
0074-HDKDG,Male,46,True,0,25,5,San Jose,None,True,False,True,Cable,True,True,True,False,False,False,False,True,One Year,True,Bank Withdrawal,19.0,6.45,61.6,1611.0,44.9,0.0,161.25,Stayed,Still Subscribed,Still Subscribed
0076-LVEPS,Male,57,False,1,29,0,Tujunga,None,False,False,True,DSL,True,True,True,True,False,False,False,True,Month-to-Month,True,Credit Card,21.0,0.0,45.0,1242.45,12.26,0.0,0.0,Stayed,Still Subscribed,Still Subscribed
0078-XZMHT,Male,19,True,0,72,5,Visalia,None,True,True,True,DSL,False,True,True,True,True,True,True,True,Two Year,True,Bank Withdrawal,52.0,32.36,85.15,6316.2,0.0,0.0,2329.92,Stayed,Still Subscribed,Still Subscribed
0080-EMYVY,Female,64,False,0,14,0,Lodi,None,True,False,True,Cable,False,True,False,False,False,False,False,True,One Year,False,Credit Card,12.0,24.04,51.45,727.85,0.0,0.0,336.56,Stayed,Still Subscribed,Still Subscribed
0080-OROZO,Female,38,False,0,35,0,El Portal,Offer C,True,False,True,Fiber Optic,False,False,True,True,True,True,True,True,One Year,True,Bank Withdrawal,2.0,36.42,99.25,3532.0,0.0,0.0,1274.7,Stayed,Still Subscribed,Still Subscribed
0082-LDZUE,Male,54,False,0,1,0,Calistoga,Offer E,True,False,True,DSL,False,False,False,False,False,False,False,True,Month-to-Month,True,Credit Card,9.0,42.95,44.3,44.3,0.0,0.0,42.95,Joined,Still Subscribed,Still Subscribed
0082-OQIQY,Male,50,False,0,29,0,Farmington,None,True,False,True,Fiber Optic,False,False,False,True,True,True,True,False,Month-to-Month,True,Bank Withdrawal,17.0,2.05,94.2,2607.6,0.0,20.0,59.45,Stayed,Still Subscribed,Still Subscribed
0083-PIVIK,Male,25,False,0,64,0,Tulelake,None,True,True,True,DSL,True,True,True,True,True,False,False,False,One Year,False,Bank Withdrawal,69.0,5.49,81.25,5567.55,0.0,40.0,351.36,Stayed,Still Subscribed,Still Subscribed
0089-IIQKO,Female,35,True,3,39,1,Coleville,None,True,True,True,Fiber Optic,False,False,False,True,True,True,True,True,Month-to-Month,True,Credit Card,53.0,24.38,99.95,3767.4,0.0,0.0,950.82,Stayed,Still Subscribed,Still Subscribed
0093-EXYQL,Female,72,False,0,40,0,Ojai,None,True,False,True,Fiber Optic,False,False,False,False,True,True,False,True,Two Year,True,Bank Withdrawal,23.0,44.14,91.55,3673.6,0.0,0.0,1765.6,Stayed,Still Subscribed,Still Subscribed
0093-XWZFY,Male,51,False,0,40,0,Desert Hot Springs,None,True,True,True,Fiber Optic,False,True,True,False,True,True,True,True,Month-to-Month,True,Credit Card,15.0,37.69,104.5,4036.85,0.0,0.0,1507.6,Churned,Competitor,Competitor had better devices
0094-OIFMO,Female,78,False,1,11,0,North Hollywood,Offer D,True,False,True,Fiber Optic,False,True,False,False,True,True,False,False,Month-to-Month,True,Bank Withdrawal,29.0,11.59,95.0,1120.3,0.0,120.0,127.49,Churned,Dissatisfaction,Product dissatisfaction
0096-BXERS,Female,30,True,0,6,10,Inverness,Offer E,True,True,True,Cable,False,False,False,False,False,False,False,True,Month-to-Month,False,Bank Withdrawal,85.0,42.66,50.35,314.55,0.0,0.0,255.96,Stayed,Still Subscribed,Still Subscribed
0096-FCPUF,Male,58,False,0,30,0,Santa Rosa,None,True,True,True,DSL,True,False,False,False,False,True,True,True,Month-to-Month,True,Mailed Check,15.0,2.64,64.5,1888.45,0.0,0.0,79.2,Stayed,Still Subscribed,Still Subscribed
0098-BOWSO,Male,26,False,0,27,0,San Jose,None,True,False,False,None,False,False,False,False,False,False,False,False,Month-to-Month,True,Bank Withdrawal,0.0,20.66,19.4,529.8,0.0,0.0,557.82,Stayed,Still Subscribed,Still Subscribed
0100-DUVFC,Male,66,True,0,70,3,Wilmington,None,True,True,True,Fiber Optic,False,True,True,False,True,True,False,True,One Year,True,Bank Withdrawal,28.0,39.49,104.8,7308.95,6.11,0.0,2764.3,Stayed,Still Subscribed,Still Subscribed
0103-CSITQ,Female,20,True,0,57,10,Modesto,Offer B,True,True,True,Fiber Optic,False,True,True,True,True,True,True,True,One Year,True,Bank Withdrawal,73.0,8.01,109.4,6252.7,0.0,0.0,456.57,Stayed,Still Subscribed,Still Subscribed
0104-PPXDV,Male,61,True,0,58,10,San Diego,None,True,False,True,DSL,False,False,True,False,False,False,False,True,One Year,False,Credit Card,18.0,18.37,50.3,2878.55,10.23,0.0,1065.46,Stayed,Still Subscribed,Still Subscribed
0106-GHRQR,Male,24,False,0,16,0,Rancho Palos Verdes,None,True,True,True,DSL,False,True,True,False,False,True,True,True,Month-to-Month,True,Bank Withdrawal,48.0,25.71,71.4,1212.1,0.0,0.0,411.36,Stayed,Still Subscribed,Still Subscribed
0106-UGRDO,Female,55,True,0,69,3,Kenwood,Offer A,True,True,True,Fiber Optic,True,True,True,True,True,True,True,True,Two Year,True,Bank Withdrawal,27.0,38.52,116.0,8182.85,0.0,0.0,2657.88,Stayed,Still Subscribed,Still Subscribed
0107-WESLM,Male,32,False,0,1,0,West Point,Offer E,True,False,False,None,False,False,False,False,False,False,False,False,Month-to-Month,True,Bank Withdrawal,0.0,31.77,19.85,19.85,0.0,0.0,31.77,Churned,Attitude,Attitude of support person
0107-YHINA,Male,59,False,0,1,0,Los Angeles,None,True,True,True,Fiber Optic,False,False,True,False,True,True,True,True,Month-to-Month,True,Bank Withdrawal,25.0,40.71,99.75,99.75,0.0,0.0,40.71,Churned,Competitor,Competitor had better devices
0111-KLBQG,Male,71,True,1,32,9,Morongo Valley,Offer C,True,False,True,Fiber Optic,False,True,False,False,True,True,True,True,One Year,True,Mailed Check,23.0,31.86,93.95,2861.45,0.0,0.0,1019.52,Stayed,Still Subscribed,Still Subscribed
0112-QAWRZ,Male,49,True,2,16,8,Palo Verde,Offer D,True,True,True,Fiber Optic,False,False,True,False,True,False,False,True,Month-to-Month,True,Bank Withdrawal,12.0,48.71,90.8,1442.2,0.0,0.0,779.36,Stayed,Still Subscribed,Still Subscribed
0112-QWPNC,Male,61,True,0,49,1,Valyermo,Offer B,True,True,True,Cable,True,False,True,True,True,True,True,True,One Year,False,Bank Withdrawal,10.0,39.55,84.35,4059.35,0.0,0.0,1937.95,Churned,Competitor,Competitor offered higher download speeds
0114-IGABW,Female,40,True,0,71,2,Cambria,Offer A,False,False,True,Cable,False,True,True,True,True,True,True,True,Two Year,False,Bank Withdrawal,29.0,0.0,58.25,4145.9,0.0,0.0,0.0,Stayed,Still Subscribed,Still Subscribed
0114-PEGZZ,Female,39,False,0,33,0,Round Mountain,None,True,True,True,Fiber Optic,False,True,True,False,True,True,True,True,Month-to-Month,False,Bank Withdrawal,12.0,49.69,107.55,3645.5,0.0,0.0,1639.77,Stayed,Still Subscribed,Still Subscribed
0114-RSRRW,Female,21,True,0,10,9,Klamath,Offer D,True,False,False,None,False,False,False,False,False,False,False,False,Month-to-Month,True,Bank Withdrawal,0.0,49.6,19.95,187.75,0.0,0.0,496.0,Stayed,Still Subscribed,Still Subscribed
0115-TFERT,Male,24,True,0,21,1,Fresno,None,True,True,True,Fiber Optic,False,True,True,True,True,True,True,False,Month-to-Month,True,Bank Withdrawal,59.0,36.26,111.2,2317.1,0.0,120.0,761.46,Churned,Attitude,Attitude of service provider
0117-LFRMW,Male,52,True,1,37,1,Angwin,None,False,False,True,DSL,True,True,True,False,False,False,False,True,Month-to-Month,False,Bank Withdrawal,23.0,0.0,40.2,1448.8,0.0,0.0,0.0,Churned,Competitor,Competitor offered more data
0118-JPNOY,Female,71,False,0,26,0,Le Grand,None,True,False,True,Fiber Optic,True,False,False,False,True,False,False,True,Month-to-Month,True,Credit Card,7.0,33.74,85.8,2193.65,0.0,0.0,877.24,Stayed,Still Subscribed,Still Subscribed
0121-SNYRK,Male,45,False,0,50,0,Redway,Offer B,False,False,True,DSL,True,False,False,True,False,False,False,True,One Year,True,Credit Card,7.0,0.0,35.4,1748.9,0.0,0.0,0.0,Stayed,Still Subscribed,Still Subscribed
0122-OAHPZ,Female,29,False,0,7,0,San Diego,None,True,True,True,Fiber Optic,False,False,False,False,False,False,True,True,Month-to-Month,True,Bank Withdrawal,26.0,28.62,73.85,511.25,13.03,0.0,200.34,Churned,Competitor,Competitor made better offer
0123-CRBRT,Female,62,True,0,61,1,Monterey Park,Offer B,True,True,True,DSL,True,True,True,True,True,True,True,True,Two Year,False,Mailed Check,28.0,47.19,88.1,5526.75,0.0,0.0,2878.59,Stayed,Still Subscribed,Still Subscribed
0125-LZQXK,Male,42,False,0,15,0,Big Oak Flat,Offer D,True,False,True,Fiber Optic,False,False,True,True,True,True,True,True,Month-to-Month,True,Bank Withdrawal,12.0,45.92,101.35,1553.95,0.0,0.0,688.8,Churned,Attitude,Attitude of service provider
0128-MKWSG,Female,51,False,2,26,0,Stevenson Ranch,None,False,False,True,DSL,True,False,False,True,False,True,True,True,Month-to-Month,False,Credit Card,19.0,0.0,45.8,1147.0,0.0,0.0,0.0,Stayed,Still Subscribed,Still Subscribed
0129-KPTWJ,Male,39,True,0,72,9,North Highlands,None,True,False,True,Fiber Optic,False,False,True,False,True,True,True,True,Month-to-Month,True,Bank Withdrawal,23.0,33.22,94.65,6747.35,0.0,0.0,2391.84,Stayed,Still Subscribed,Still Subscribed
0129-QMPDR,Male,64,True,0,44,1,La Puente,None,True,False,False,None,False,False,False,False,False,False,False,False,One Year,True,Bank Withdrawal,0.0,27.4,20.5,865.05,0.0,0.0,1205.6,Stayed,Still Subscribed,Still Subscribed
0130-SXOUN,Male,55,False,0,66,0,Glenhaven,Offer A,True,True,True,Fiber Optic,False,True,False,False,False,True,True,False,Month-to-Month,False,Credit Card,8.0,48.78,89.4,5976.9,36.02,40.0,3219.48,Stayed,Still Subscribed,Still Subscribed
0133-BMFZO,Female,40,False,0,2,0,Alhambra,None,True,False,True,Fiber Optic,True,True,False,True,False,False,False,True,Month-to-Month,True,Bank Withdrawal,16.0,36.81,86.25,181.65,0.0,0.0,73.62,Churned,Competitor,Competitor offered higher download speeds
0134-XWXCE,Female,76,False,0,44,0,Santa Monica,None,True,False,True,DSL,False,False,True,True,True,True,True,True,One Year,False,Bank Withdrawal,17.0,7.72,74.85,3268.05,17.91,0.0,339.68,Stayed,Still Subscribed,Still Subscribed
0135-NMXAP,Female,57,False,0,12,0,Lodi,Offer D,True,True,True,Fiber Optic,False,True,False,False,True,False,False,True,Month-to-Month,True,Bank Withdrawal,6.0,14.38,89.75,1052.4,0.0,0.0,172.56,Churned,Attitude,Attitude of support person
0136-IFMYD,Male,71,True,0,69,1,Los Angeles,None,True,True,True,Fiber Optic,False,True,True,True,True,True,False,True,Two Year,True,Bank Withdrawal,17.0,18.41,109.95,7634.25,0.0,0.0,1270.29,Stayed,Still Subscribed,Still Subscribed
0137-OCGAB,Female,25,False,0,1,0,Fairfield,Offer E,True,True,True,Fiber Optic,False,True,False,False,False,False,False,True,Month-to-Month,True,Mailed Check,69.0,1.23,80.2,80.2,0.0,0.0,1.23,Churned,Price,Lack of affordable download/upload speed
0137-UDEUO,Female,24,False,0,3,0,Stockton,Offer E,True,False,False,None,False,False,False,False,False,False,False,False,Month-to-Month,False,Credit Card,0.0,25.75,19.85,63.75,0.0,0.0,77.25,Churned,Price,Long distance charges
0139-IVFJG,Female,19,True,0,2,10,Temecula,None,True,False,True,Fiber Optic,True,True,False,False,True,False,False,True,Month-to-Month,False,Bank Withdrawal,53.0,4.65,90.35,190.5,0.0,0.0,9.3,Joined,Still Subscribed,Still Subscribed
0141-YEAYS,Female,77,False,0,27,0,Fallbrook,None,True,True,True,Fiber Optic,False,True,True,False,False,False,False,True,Two Year,True,Bank Withdrawal,4.0,2.97,86.45,2401.05,0.0,0.0,80.19,Stayed,Still Subscribed,Still Subscribed
0142-GVYSN,Male,57,False,0,26,0,Randsburg,Offer C,True,False,False,None,False,False,False,False,False,False,False,False,Month-to-Month,True,Bank Withdrawal,0.0,13.34,20.3,511.25,0.0,0.0,346.84,Stayed,Still Subscribed,Still Subscribed
0147-ESWWR,Female,73,True,0,39,9,Atascadero,None,True,True,True,Fiber Optic,False,False,False,True,True,True,True,True,Month-to-Month,True,Bank Withdrawal,21.0,20.15,101.25,3949.15,0.0,0.0,785.85,Stayed,Still Subscribed,Still Subscribed
0148-DCDOS,Male,41,False,0,25,0,Planada,None,True,True,True,Fiber Optic,False,False,False,False,True,True,True,True,Month-to-Month,True,Bank Withdrawal,8.0,34.88,94.7,2362.1,0.0,0.0,872.0,Churned,Competitor,Competitor had better devices
0151-ONTOV,Female,43,False,0,1,0,Moorpark,Offer E,True,False,True,Fiber Optic,False,False,False,False,False,False,False,True,Month-to-Month,False,Mailed Check,23.0,39.81,70.9,70.9,0.0,0.0,39.81,Churned,Competitor,Competitor had better devices
0156-FVPTA,Male,48,True,0,22,1,Solvang,Offer D,True,False,True,DSL,True,False,False,True,False,False,False,True,Month-to-Month,True,Bank Withdrawal,21.0,27.24,54.2,1152.7,0.0,0.0,599.28,Churned,Attitude,Attitude of service provider
0164-APGRB,Female,56,False,0,72,0,Calistoga,Offer A,True,True,True,Fiber Optic,True,True,True,True,True,True,True,True,Two Year,True,Bank Withdrawal,5.0,48.37,114.9,8496.7,0.0,0.0,3482.64,Stayed,Still Subscribed,Still Subscribed
0164-XAIRP,Female,51,False,0,24,0,La Mirada,None,True,False,False,None,False,False,False,False,False,False,False,False,Two Year,True,Bank Withdrawal,0.0,10.64,19.55,470.2,0.0,0.0,255.36,Stayed,Still Subscribed,Still Subscribed
0168-XZKBB,Female,34,True,0,19,8,Boron,None,True,True,True,Fiber Optic,False,False,False,False,True,False,False,True,Month-to-Month,True,Bank Withdrawal,16.0,7.84,86.85,1564.4,0.0,0.0,148.96,Stayed,Still Subscribed,Still Subscribed
0174-QRVVY,Male,21,True,2,71,2,San Marcos,None,True,True,False,None,False,False,False,False,False,False,False,False,Two Year,False,Credit Card,0.0,9.2,25.35,1847.55,0.0,0.0,653.2,Stayed,Still Subscribed,Still Subscribed
0177-PXBAT,Male,78,True,0,33,7,Desert Center,None,True,True,True,Fiber Optic,True,False,True,True,True,True,False,True,One Year,True,Bank Withdrawal,20.0,25.15,109.9,3694.7,0.0,0.0,829.95,Stayed,Still Subscribed,Still Subscribed
0178-CIIKR,Female,60,False,0,3,0,Crows Landing,None,True,False,False,None,False,False,False,False,False,False,False,False,Month-to-Month,False,Credit Card,0.0,2.69,19.95,58.0,0.0,0.0,8.07,Joined,Still Subscribed,Still Subscribed
0178-SZBHO,Male,54,True,1,47,7,Tuolumne,None,True,True,True,Fiber Optic,False,True,False,False,True,False,False,True,Month-to-Month,False,Bank Withdrawal,13.0,1.09,87.2,4017.45,0.0,0.0,51.23,Stayed,Still Subscribed,Still Subscribed
0181-RITDD,Male,42,True,3,62,2,San Diego,None,True,False,True,Fiber Optic,True,True,True,True,True,True,True,True,Two Year,False,Credit Card,20.0,1.76,108.15,6825.65,0.0,0.0,109.12,Stayed,Still Subscribed,Still Subscribed
0186-CAERR,Male,22,False,0,71,0,Auburn,None,True,True,True,Fiber Optic,True,True,True,True,True,True,True,True,One Year,True,Bank Withdrawal,48.0,2.88,116.3,8309.55,0.0,0.0,204.48,Stayed,Still Subscribed,Still Subscribed
0187-QSXOE,Male,71,True,0,7,8,Fresno,None,True,False,True,Fiber Optic,False,False,False,False,True,True,True,True,Two Year,True,Bank Withdrawal,11.0,41.97,89.0,605.45,0.0,0.0,293.79,Stayed,Still Subscribed,Still Subscribed
0187-WZNAB,Female,56,True,2,27,6,Del Rey,Offer C,True,False,True,Fiber Optic,True,False,False,False,False,False,False,True,Month-to-Month,False,Credit Card,28.0,46.66,74.4,1972.35,0.0,0.0,1259.82,Stayed,Still Subscribed,Still Subscribed
0188-GWFLE,Male,33,False,0,2,0,Redwood City,None,True,False,False,None,False,False,False,False,False,False,False,False,Month-to-Month,False,Credit Card,0.0,1.81,20.05,33.7,0.0,0.0,3.62,Joined,Still Subscribed,Still Subscribed
0191-EQUUH,Female,32,False,3,25,0,Landers,Offer C,False,False,True,Cable,True,False,False,True,False,False,False,True,Two Year,False,Bank Withdrawal,75.0,0.0,35.05,844.45,0.0,0.0,0.0,Stayed,Still Subscribed,Still Subscribed
0191-ZHSKZ,Male,80,False,0,30,0,Hawthorne,None,True,False,True,DSL,True,True,False,False,True,True,False,True,One Year,True,Bank Withdrawal,5.0,38.61,74.75,2111.3,0.0,0.0,1158.3,Stayed,Still Subscribed,Still Subscribed
0193-ESZXP,Female,73,True,0,58,1,Oceano,None,True,False,True,Fiber Optic,True,True,False,True,True,True,True,True,One Year,True,Credit Card,19.0,16.94,105.5,6205.5,0.0,0.0,982.52,Churned,Attitude,Attitude of support person
